Year,Country,Industry,AI_Tool,Adoption_Rate,Daily_Active_Users,Company_Size,Age_Group
2025,UK,Manufacturing,ChatGPT,33.4,99391,Small,26-35
2026,Germany,Retail,ChatGPT,94.2,63754,Medium,26-35
2023,Canada,Education,GitHub Copilot,43.83,17844,Small,18-25
2025,UK,Manufacturing,GitHub Copilot,83.28,23534,Medium,26-35
2025,India,Healthcare,GitHub Copilot,85.69,48101,Large,26-35
2026,Germany,Education,Gemini,80.24,67362,Medium,18-25
2023,Canada,Retail,GitHub Copilot,9.22,59733,Large,18-25
2023,India,Finance,ChatGPT,90.3,49017,Medium,18-25
2025,India,Manufacturing,Claude,16.59,79904,Medium,46-55
2024,India,Healthcare,GitHub Copilot,8.1,46845,Large,18-25
2025,India,IT,GitHub Copilot,42.29,1007,Medium,18-25
2025,UK,IT,Claude,22.52,91395,Large,18-25
2025,Australia,Education,ChatGPT,21.58,58702,Small,56+
2025,UK,Finance,Gemini,30.9,13864,Large,56+
2026,UK,IT,GitHub Copilot,27.36,24509,Medium,46-55
2023,Canada,Education,Claude,66.63,8490,Small,46-55
2026,Canada,Retail,ChatGPT,21.81,30272,Medium,26-35
2026,Australia,Education,Perplexity,53.88,40642,Small,56+
2026,Canada,Education,Gemini,93.78,47424,Large,46-55
2025,USA,Education,Claude,43.91,48296,Small,46-55
2024,Australia,Healthcare,Claude,62.77,69001,Small,26-35
2023,Canada,Education,Claude,92.24,25936,Small,18-25
2024,Australia,Manufacturing,GitHub Copilot,17.39,94190,Medium,36-45
2026,UK,Education,Perplexity,42.67,21763,Small,26-35
2026,UK,Healthcare,Gemini,81.52,6051,Large,36-45
2024,Australia,Healthcare,ChatGPT,88.91,15275,Large,26-35
2024,USA,Retail,ChatGPT,59.11,11127,Large,26-35
2024,USA,Finance,Perplexity,17.91,75730,Small,18-25
2026,Australia,IT,Claude,86.13,88717,Large,46-55
2026,Canada,IT,Claude,20.7,12267,Medium,56+
2023,Germany,Education,Claude,36.76,74405,Large,26-35
2023,USA,Retail,Claude,38.8,23160,Small,18-25
2026,India,Education,Claude,45.26,66656,Large,36-45
2024,UK,IT,Perplexity,76.11,77481,Small,46-55
2024,Australia,Healthcare,GitHub Copilot,77.19,10585,Small,26-35
2023,India,Finance,Gemini,69.77,73550,Large,36-45
2026,Australia,Retail,Claude,6.99,8902,Medium,26-35
2023,UK,Healthcare,GitHub Copilot,55.84,33414,Medium,56+
2023,UK,Finance,ChatGPT,72.27,48398,Large,56+
2025,USA,Retail,Perplexity,45.02,19665,Small,46-55
2025,USA,Retail,GitHub Copilot,90.04,93253,Large,36-45
2025,India,IT,Claude,79.14,91245,Small,56+
2024,Australia,Healthcare,Claude,62.43,44333,Small,18-25
2026,UK,Retail,Claude,10.62,86007,Small,46-55
2026,India,Manufacturing,GitHub Copilot,63.71,48484,Medium,26-35
2026,Germany,Retail,Claude,87.04,52585,Medium,36-45
2026,India,Finance,GitHub Copilot,39.15,84760,Large,36-45
2025,Canada,IT,Claude,80.43,78353,Medium,18-25
2024,India,Education,ChatGPT,33.18,63070,Small,56+
2024,Canada,IT,ChatGPT,56.31,37769,Small,36-45
2025,Canada,Education,Gemini,63.36,26372,Large,18-25
